precio,aseos,dormitorios,superficie,plantas,codigo_postal
917500,4,2.5,3880,2,98033
673000,4,2.25,2590,2,98006
425000,3,2.5,1120,2,98122
399950,5,2.75,1970,1,98144
385000,3,1,1220,1,98122
269950,3,1.5,1950,1,98022
330000,2,1,1350,1,98177
260000,3,2.5,1670,2,98030
470000,4,3,2380,1.5,98126
589000,4,3,2440,2,98034
163500,2,1.5,1050,2,98038
835000,4,2.75,3130,2,98052
1095000,5,3,4090,1,98033
269000,4,1.75,1490,1,98023
560000,3,2.5,1900,2,98074
615000,4,1,1330,1.5,98103
585188,3,2.25,2230,1,98052
305000,3,1.75,1650,1,98034
166950,3,1,1190,1,98058
799000,3,2.5,2140,1,98040
400000,3,2.5,2180,1,98133
230000,3,1,1060,1,98155
256883,3,2.5,1690,2,98023
423000,4,2,1970,1.5,98108
465000,3,2.5,2150,2,98126
440000,3,2.5,1910,2,98024
385000,3,1.75,1350,1,98038
210000,3,1,860,1,98056
297000,3,2.5,1940,2,98042
470000,3,1,1010,1,98107
226500,3,1.5,1300,1,98023
274250,3,1,910,1,98059
840000,4,1.75,2480,1,98040
677900,3,2.5,2440,2,98052
425000,3,1,1010,1,98116
180250,2,0.75,900,1,98166
464000,6,3,2300,2,98133
320000,4,2.25,1550,2,98038
625504,3,2.25,1270,2,98105
592500,4,2.5,2240,1,98074
465000,3,2.5,2714,2,98001
477000,4,2.75,1720,2,98118
280000,2,1,850,1,98168
1505000,5,3,3300,1,98040
445838,3,2.5,2250,2,98146
1072000,2,2.25,3900,1,98144
467000,2,1.5,1320,1,98177
686000,4,2.5,2760,2,98075
279950,3,2,1750,1,98198
527000,4,2.25,2330,2,98011
325000,3,2.25,2220,1,98030
328000,3,2.25,2020,2,98038
390000,3,2.25,1250,1,98146
479950,2,2,1510,1,98053
264950,4,2.25,1720,1,98023
235000,3,1,1430,1,98031
516500,3,2.5,1480,2,98053
655000,2,1.75,1450,2,98166
500000,4,2.75,2280,1,98059
315000,6,2.75,2940,1,98023
213000,2,1,1000,1,98024
475000,3,1.5,2480,1.5,98108
1025000,5,4,3760,2,98033
416000,3,2,2220,1,98010
410000,4,1,1970,1.5,98122
800000,3,3.5,3830,2,98077
472000,6,2.5,4410,1,98003
225000,3,1.75,1430,1,98003
210000,2,1,830,1,98126
455000,2,1,1430,1.5,98115
225000,3,1,1300,1,98002
480000,2,1,1030,1,98103
363000,3,2.5,2740,2,98023
2400000,4,2.5,3650,1,98074
181000,2,1.5,720,1,98106
250000,4,2,2010,1,98002
481000,3,1.75,1560,1,98103
260000,3,2,1810,1,98032
455000,4,2.5,3360,2,98058
415000,3,2.25,1510,2,98045
349500,3,1,1400,1,98118
245000,3,2.5,1730,2,98030
592500,2,2,1420,1.5,98115
385000,4,1.75,2360,1,98106
315000,3,1.75,1580,1,98059
255000,3,1,1230,1,98045
693000,4,2.5,2460,2,98052
780000,3,1,1660,1.5,98112
237000,3,1.75,1270,1,98198
525000,3,2.25,2100,2,98074
425000,2,1,770,1,98144
369900,1,0.75,760,1,98070
290000,4,2.5,1700,2,98031
285000,3,1,1120,1,98106
415000,2,1,1070,1,98115
272500,3,2.5,2070,1,98023
2900000,4,3.25,5050,1.5,98004
1365000,4,4.75,5310,2,98077
436000,2,1,1040,1,98133
210000,3,1,1700,1,98003
236000,3,1,1300,1,98178
331000,3,1.75,1080,1,98199
365000,3,2.5,2653,2,98031
450000,3,2,2290,1,98058
770000,4,2.75,3820,2,98028
455000,4,2.5,2210,1,98038
405000,3,1.75,2390,1,98118
304900,4,1.75,2600,1,98031
170000,2,1,860,1,98178
2050000,5,3,3830,2,98122
780000,4,2.5,3500,2,98053
330000,3,3,2420,1,98028
370000,4,2.5,2720,2,98030
467000,5,2.25,2500,1,98072
405000,3,1.75,1670,1,98034
675000,5,2.25,2900,1,98006
500000,2,1,1640,1,98006
389999,4,2.5,1890,2,98166
630000,4,1.75,2950,1,98034
360000,4,2.5,2160,2,98001
580000,4,3,3280,2,98056
550000,3,2,1970,2,98126
879000,4,2.5,3360,2,98075
265000,3,2,1320,1,98042
446500,3,2.5,2650,2,98059
404000,3,1.5,2030,1,98108
267500,3,1.75,1590,1,98188
3075000,4,5,4550,1,98074
335000,3,2.5,2440,2,98003
576000,3,2.5,1940,1,98117
208633,3,2.5,2040,2,98038
315000,3,2.25,2200,1,98166
725000,3,1.75,1920,1,98112
550000,4,2.75,1800,1,98177
610750,4,2.25,2180,2,98074
550700,2,1,1010,1.5,98105
665000,4,2.75,3320,2,98056
834000,4,2.5,2370,1.5,98144
201000,5,1.75,1660,1.5,98065
2384000,5,2.5,3650,2,98119
1384000,4,3.25,4290,1,98006
1400000,4,3.25,4290,1,98006
305000,4,2.25,1950,1,98058
487000,3,2,2590,1,98133
390000,3,2.5,1930,1,98042
548000,2,1,1470,1,98103
268750,4,1,800,1,98166
819900,5,2.75,3150,2,98052
520000,3,2.25,2030,2,98027
230000,3,2,1450,1,98001
240000,3,1.75,1510,1,98023
232000,2,1,1240,1,98146
240500,2,1,1240,1,98146
274975,3,2.5,3030,2,98077
740000,4,2,2050,1.5,98102
186375,3,1,1000,1,98166
790000,3,2.25,2370,1,98005
880000,4,3.5,2800,2,98105
279000,6,1.75,2240,2,98198
295000,3,2,1810,1,98022
640000,2,1,1070,1,98103
940000,4,2,2490,2,98040
260000,4,2.5,1960,2,98038
559900,3,2.75,2930,1,98072
791500,4,2,1510,1.5,98103
265000,3,1.75,1420,1,98133
245000,3,1.75,1740,1,98178
485000,4,1.75,2560,2,98052
684000,4,3.5,3040,2,98059
425000,3,1.75,2500,1,98125
309600,4,1.75,1275,1,98070
552250,4,2.5,2580,2,98065
165000,4,1,1000,1,98178
239900,4,1,1000,1,98178
320000,2,1,1070,1,98059
206600,3,2,1390,1,98030
387000,4,1.75,2500,1,98155
299000,1,0.75,560,1,98014
855000,4,2.75,2270,2,98040
315000,3,1,1900,1,98166
437500,2,1,990,1,98103
252000,4,1.5,1550,1,98001
375000,4,1.75,2200,1,98118
300000,4,2.5,1910,2,98038
420000,4,1,1750,1.5,98006
900000,3,1,1330,1,98033
679900,3,2.5,2440,2,98116
463000,3,2.5,1640,2,98053
380000,5,2.5,2760,2,98059
329500,4,2.5,1820,2,98038
604950,3,2.5,2110,1,98033
795000,5,2.5,3040,1,98006
465000,3,2,1840,2,98045
673000,4,2.5,2990,2,98166
810000,4,2.5,3520,2,98074
785000,4,2.75,2440,1,98075
338000,4,3,2090,1,98056
280000,3,2.25,1430,2,98056
315000,4,2.25,2180,1,98133
530000,4,2.25,2180,1,98133
380000,5,3,3450,2,98023
297000,3,2.25,1450,2,98056
730000,4,2.5,3230,2,98075
450000,3,1.75,1640,1,98125
275000,3,3,1590,1,98038
595000,4,2,2020,2,98115
435000,3,1.5,1300,1.5,98144
270000,2,1.5,1380,1,98011
950000,3,3,4040,2,98077
389000,4,2.25,2130,2,98019
560000,4,2.25,2550,1,98052
1350000,5,3.5,4800,2,98006
799000,4,2.25,2510,2,98040
365500,3,2,1410,1,98072
252350,3,2,1650,1,98058
403950,4,2.5,2120,2,98146
385000,4,1.5,2040,1,98177
345000,4,1,1550,1.5,98106
490000,3,2.75,1980,2,98008
330000,3,2.5,1600,2,98019
927000,4,2.75,3300,2,98004
1118000,4,2.5,3840,2,98040
330000,2,1,1220,1,98028
530000,5,2.25,2720,1,98008
365000,4,2,1940,1,98006
378750,3,2.5,2160,1.5,98118
269900,4,1.75,1530,1.5,98058
557000,3,3.5,1710,2,98122
360000,4,1.75,3730,1,98022
352000,2,1,940,1,98117
437000,3,2.5,1750,2,98045
322500,4,2.5,1820,2,98038
650000,3,3.25,1510,2,98116
450000,3,2,1290,3,98103
278500,3,2,1570,1,98092
364950,4,2.5,1930,2,98055
840000,4,3.5,2840,1,98038
268000,3,2.5,1550,2,98031
517534,2,1,833,1,98070
632925,3,2.5,2990,2,98077
577500,3,2.5,2000,2,98034
339000,4,1.5,2390,1.5,98178
570000,3,1.75,2910,1,98052
563500,4,1.75,2085,1,98024
423000,4,2.25,2200,1,98133
355000,3,2.25,1860,2,98019
1550000,5,4.25,6070,2,98024
482000,2,1,950,1,98103
625000,3,1.75,1600,1,98006
538000,3,2.5,2250,2,98056
380000,3,2.5,2280,2,98058
375000,2,1,940,1,98122
245000,3,2.5,1530,1,98038
310000,5,1.75,2190,1,98166
1300000,3,2,2350,1,98004
397000,4,2,1440,1,98034
365000,3,2.5,2200,2,98058
328500,4,3,2290,2,98042
988000,4,3,4040,2,98052
1000000,4,2.5,2610,1.5,98103
237000,3,2.5,1490,2,98055
525000,4,2.5,2450,2,98011
749000,4,2.5,1710,1,98006
722500,5,2.5,4870,2,98074
843000,3,2.5,3130,2,98052
438000,2,2,1270,3,98115
578000,3,1.75,2120,1,98146
227950,3,1.5,1670,1,98001
196000,3,2.25,2070,2,98001
641000,2,1,1420,1,98105
350000,3,1.5,1250,1,98038
205000,3,1,940,1,98032
400000,3,1.75,1920,1,98072
1030000,3,2.5,3545,1,98027
505000,3,2,1260,1,98034
475000,5,2.5,2340,1,98034
520000,3,2.25,2590,1,98028
1450000,3,4.5,3970,2,98034
333500,3,1.75,1220,1,98011
232000,3,1,1400,1,98038
691100,3,2.75,2360,1,98006
811000,3,1.75,1870,1,98040
551000,3,2.5,2830,2,98028
496500,3,2.5,2260,2,98072
705000,3,3,1970,2,98070
578000,4,2.5,3140,1,98055
255000,3,1.75,1240,1,98042
1050000,4,3.5,3450,2,98006
348000,3,2.25,2570,2,98042
230000,3,2,1510,2,98031
359500,4,2.25,2390,2,98023
330000,3,1,980,1,98133
80000,1,0.75,430,1,98014
465000,3,1.75,1480,1,98133
325000,4,2.5,1850,2,98042
340500,3,2,2270,1,98168
342500,3,2.5,1810,2,98038
290900,2,2,1610,2,98178
868700,3,4.25,3840,2,98074
1199000,4,2.75,4110,2,98125
1150000,4,3.25,4190,2,98074
859900,4,2.75,3390,2,98074
520000,4,2.25,1890,2,98029
460000,3,2.5,1610,2,98118
438924,3,1.5,1050,1,98115
315000,2,1,630,1,98126
590000,4,2.75,2910,1,98033
378500,4,1.75,1700,1,98006
328500,3,2.5,1950,2,98042
849950,3,3,2990,2,98005
525000,3,1.5,1350,1,98136
1385000,4,3.25,4860,2.5,98074
295000,4,2.5,2160,1,98023
1067000,6,3.5,4860,2,98006
207950,2,2,890,1,98118
699900,4,2.75,2810,2,98075
1280000,5,2.5,3400,2,98027
452000,4,1.5,1580,1,98052
370000,3,2,1680,1,98055
232000,3,1.75,1300,1,98042
669950,5,2.5,2820,2,98034
397500,3,2,1510,1,98034
490000,2,2.5,1230,2,98112
725000,4,2,2110,2,98116
299000,3,2.75,3080,1,98032
625000,2,1.5,1490,1.5,98116
437500,3,2.5,2120,2,98065
650000,4,2.5,3180,2,98065
475000,2,1,1490,1,98117
342000,3,2,1930,1,98042
1197354,4,2.5,2770,2,98033
280000,3,1.5,1670,1,98055
240000,2,1.75,1330,1,98188
529000,3,1,1210,1.5,98107
442000,3,1,1190,1,98136
615000,2,1,1540,1,98119
1485000,4,3.75,4030,2,98033
585000,4,1.75,2430,1,98052
480000,4,2.5,2600,2,98059
1095000,5,3.5,4410,2,98053
290000,4,1,1330,1.5,98133
615000,3,1.75,1900,1,98116
300000,2,1,1100,1,98133
308000,3,1,1980,1.5,98030
750000,3,2.5,2400,2,98033
2250000,4,2.25,4760,2.5,98112
890000,4,3.25,3180,2,98059
288000,3,1,1190,1,98058
190000,2,1,630,1,98178
515000,5,3,2530,1,98133
235000,4,1.5,1690,1,98055
275000,2,1,940,1,98126
727500,2,2,1240,1,98004
650000,4,2.5,3040,2,98053
1600000,6,5,6050,2,98024
365000,4,1,1590,1.5,98125
662000,3,1.75,2500,1,98052
270500,3,2.5,1780,1,98038
200000,2,1.5,1360,2,98092
970000,4,3.25,4740,2,98075
160000,3,1.5,1010,1,98198
204000,3,1,1040,1,98010
358000,3,2.25,1610,2,98058
452000,4,1.75,1570,1,98011
595000,2,2,1510,1,98103
249000,3,2,1360,1,98042
346900,4,2.5,1970,2,98055
2125000,3,2.5,5403,2,98166
280000,4,2.5,1560,2,98056
318888,4,1.75,2320,1,98032
530000,3,2.25,2120,1,98075
375000,3,2.25,2120,2,98031
910000,4,2.5,3350,2,98052
782000,4,2.5,2380,2,98006
259950,2,2,1070,2,98106
315000,4,2.75,2300,1,98058
215000,2,1,1320,1,98168
705000,3,1.75,2180,1,98040
1450000,3,3,4380,2,98199
451000,3,1.75,1790,2,98155
261000,2,1,750,1,98055
396000,3,1.5,1300,1,98028
725000,4,2.5,2990,2,98059
1950000,7,3.5,4640,2,98040
238000,4,1,1400,1.5,98188
750000,6,1.75,2750,2,98052
331500,4,2.5,2050,2,98042
460000,4,3,2230,1,98065
404950,4,2.25,2340,1,98092
880000,3,2.5,2870,2,98103
863000,4,2.5,4120,2,98074
638700,3,1.75,2080,1,98005
435000,3,2.5,1840,2,98053
260000,3,1,1180,1.5,98178
671500,5,2.75,2160,1.5,98105
610000,3,1,1180,1.5,98109
405000,2,0.75,1160,1,98014
338900,4,2.5,1830,2,98038
720000,4,4,3200,2,98075
442000,5,3,2560,1.5,98108
650000,5,2.75,2550,1.5,98122
263500,3,1.75,1330,1,98058
300000,2,1,1220,1,98038
266000,3,2.5,1805,2,98002
930000,4,4,6050,2.5,98077
530000,4,2.5,2320,2,98028
180000,3,1,1384,1,98023
619000,3,2.5,2720,2,98065
264000,3,1.5,1820,1,98003
730000,2,2.25,2130,1.5,98116
439000,4,2.25,2060,2,98034
268500,4,1.75,1420,1,98031
330000,3,1.75,1510,1,98045
640000,3,2.5,2160,1.5,98122
900000,3,2.5,3180,2,98074
370000,3,2.25,2110,2,98038
685000,3,2,2060,1.5,98144
505000,3,1.5,1830,1,98053
265000,3,1.75,1820,1,98022
290000,3,2.5,1610,2,98055
296000,4,2.5,1780,2,98038
360000,4,2.5,1840,2,98178
240500,3,1.75,1460,1,98168
372500,2,2.5,1400,2,98126
595000,3,2.5,3370,2,98045
515000,4,3,3590,2,98023
1220000,4,2.25,3200,2,98040
507000,2,1.75,1670,1,98053
399950,4,2,2420,1,98092
185000,3,1.75,1430,2,98010
460000,3,1.75,1440,1,98052
435500,3,2.25,1450,2,98029
469000,4,2.75,3550,1,98188
531000,2,3,1270,2,98103
443500,2,1,940,1,98177
223000,3,2,1670,1,98042
590000,4,3.5,3100,2,98028
340000,2,2.5,1100,3,98103
650000,3,2,1870,1,98199
533600,3,2.5,1930,2,98029
695000,3,2.75,2540,2,98074
242000,3,1.75,1280,1.5,98031
425000,3,2.25,1820,1,98125
525000,3,2.25,1490,2,98052
485000,3,2.5,1880,2,98029
175000,3,1,1250,1,98045
210000,3,2,1440,1,98092
260000,3,2.5,1920,2,98031
577000,3,2.5,2060,1,98116
200000,3,1.5,1210,1,98002
605000,2,1.75,1760,1,98117
325000,3,1,990,1,98133
289500,3,1,960,1,98178
559950,3,2.5,1660,3,98144
1042500,3,1.75,1900,1,98115
543500,3,2.25,1270,1,98199
480000,4,2.25,3250,2,98042
218000,3,1,960,1,98022
565000,2,1.75,1330,1,98199
426700,3,1.75,2080,1,98056
650000,3,2.5,2690,1,98028
542000,2,1,890,1,98105
415000,3,1.75,1070,1,98052
214000,3,1,1200,1,98002
245000,3,1.5,1360,2,98188
314500,3,2,2050,1,98003
1120000,3,1.5,3000,2,98116
378000,2,2,1300,1,98136
305000,4,2.5,2250,1,98001
595000,5,2.75,3740,1,98028
729500,3,2.5,1660,3,98116
430000,3,2.5,2360,2,98065
240000,3,1.75,1760,1,98038
545000,3,1.75,1680,1.5,98136
530000,3,1.75,1320,1,98105
157000,1,1,870,1,98198
425000,4,1,1260,1.5,98146
220000,3,1,1000,1,98166
521000,4,1.75,2020,1,98077
325000,3,1,1920,1,98118
597500,3,2,2150,1.5,98126
337000,3,2.5,1470,2,98065
1000000,3,2.5,3180,2,98052
3070000,3,2.5,3930,1,98034
495000,3,1,990,1,98105
748000,4,3.5,2770,2,98052
888000,3,1.5,1250,1,98004
269900,3,1.75,1140,1,98045
496500,4,2.5,2250,1,98027
475000,3,2.5,1640,2,98155
312000,3,1.5,1255,3,98125
323000,3,1,1290,1,98072
331000,3,1.75,1300,1,98059
306000,3,1.5,1220,3,98133
655000,4,2.5,2630,3,98117
290000,3,1.5,1950,1,98003
1250000,4,3.25,3160,2,98105
460000,3,1.75,1550,1,98115
435000,4,2.5,1700,1,98115
664000,4,2.75,2510,1,98006
865000,4,1.75,1800,2,98102
385000,3,1.75,1800,1,98058
497000,3,2.25,1870,1,98034
280000,2,1,1010,1,98045
188000,2,1.5,1120,1,98178
478500,3,1,2090,1,98136
1145000,4,3.5,4370,2,98065
222000,3,2,1440,1,98023
799000,4,3,2580,2,98053
609900,4,2.5,3190,2,98038
413000,4,3.5,2380,2,98106
400000,4,1,1420,1.5,98115
802541,5,2.75,2990,2,98006
320000,3,2.5,2680,2,98023
507000,4,2.5,2730,2,98065
387500,3,1,1220,1,98115
396000,3,1,1500,1,98072
373000,3,1.75,1830,1,98055
1484900,5,2.5,4570,2,98040
359900,4,2.25,2470,2,98058
410000,2,1,800,1,98115
690000,4,2.5,2900,2,98053
245000,3,2,1410,1,98030
700000,5,2.5,2830,1,98075
268000,4,1.75,1680,1,98198
225000,3,1.75,1760,1,98042
980000,4,2.25,2240,2,98004
795000,2,1,1380,1.5,98106
195000,2,1,820,1,98118
480000,4,2,2180,1,98005
485000,4,2,1400,1,98119
130000,2,1,880,1,98188
325000,2,1,1060,1,98198
440000,3,1.75,1530,1,98034
550000,4,1.75,2480,1,98155
310000,3,1.75,1490,1,98059
530000,3,2.5,3660,2,98022
390000,4,2.5,2340,2,98031
243000,3,1.75,1450,1,98001
639000,4,2.5,2210,2,98074
215000,4,1,1130,1,98003
405000,5,1.75,1550,1,98011
250000,4,1.75,1710,1,98032
405500,3,1.5,1010,1,98155
452000,6,2.25,2660,2,98125
730000,6,2.25,2660,2,98125
267000,3,2,1300,1,98010
289950,3,2.5,1670,2,98038
565000,2,1,960,1,98103
1578000,4,3.25,4670,2,98005
636000,3,2.5,2140,2,98052
350000,5,3,2520,1,98178
320000,3,1.5,1650,1,98058
210000,2,1.75,1440,1,98198
245000,2,1,1050,1,98126
328000,3,1.75,1470,1,98059
985000,4,2.25,4230,2,98077
501000,3,1.75,1970,1,98055
315000,3,2.25,1540,2,98045
403000,3,2.75,2090,2,98019
550000,3,2,2380,2,98155
347500,4,2.5,2156,2,98030
365000,4,2.25,2070,2,98058
588000,3,1,1910,1,98117
605000,3,1.75,1920,1,98006
1300000,3,3.25,3400,2,98105
233000,3,2,1400,1,98001
360000,4,2.5,2210,2,98030
459000,2,1.75,1170,1,98117
740000,3,2,2100,1,98077
305000,3,1,1160,1,98077
395000,3,1,1500,1,98117
560000,4,2.5,2940,2,98011
650000,4,1.75,2010,1,98116
449950,3,2.5,2170,2,98028
517500,3,1.5,1430,1,98117
435000,4,1.5,1510,1,98034
329999,3,1,1150,1,98155
950000,3,1.75,2150,1,98116
447000,3,1,1370,1,98108
699800,2,2.5,2380,1,98053
850000,3,1.75,1370,1,98112
316500,3,1.75,1600,1,98023
942500,5,3.5,3750,1,98006
1310000,2,2.25,3950,2,98116
856600,4,2.25,2400,1,98005
405600,5,1.5,2830,2.5,98118
565000,4,2.5,2440,2,98053
400000,3,2.25,1190,2,98116
330000,3,2,1400,1,98019
374950,4,2.75,2730,2,98038
405300,3,2.75,2390,1,98056
560000,3,2.25,2060,2,98074
824000,4,2.25,2490,1,98004
260000,3,1.75,1100,1,98042
760000,4,2.5,2430,1,98115
405000,3,2.5,3170,2,98023
429900,4,2.5,2640,2,98058
341500,3,1.5,1130,1,98056
465250,5,2,1940,1.5,98177
450000,2,2,1100,1.5,98117
390000,3,1,1200,1,98006
420000,3,2.25,2000,1,98008
269950,3,2.5,1890,2,98168
493000,4,2,1910,1,98122
370000,4,2.5,2710,2,98092
2250000,5,4.25,4860,1.5,98112
305000,3,1,1250,1,98059
400000,3,1.75,1590,1.5,98034
320000,3,1.5,1240,2,98133
715000,4,1,2000,2,98103
650000,6,2.75,3610,1.5,98008
218000,5,1.75,1930,1,98023
500000,2,1,1280,1,98117
460000,4,2,2090,1,98027
232500,3,1.5,1940,1,98003
408200,3,2.5,1800,2,98106
522000,3,1.75,1730,1,98052
675000,4,2.5,2810,2,98074
1355000,4,3.5,3550,1,98006
249950,4,1,1330,1.5,98168
210000,2,1,750,1,98168
429950,4,1,1760,1,98133
737500,4,2.5,3200,2,98053
710000,4,2,1740,1,98033
470000,3,2.5,2100,2,98065
1100000,4,3.5,4270,1,98077
650000,3,2,1340,1.5,98103
1216000,4,2.5,3190,1,98006
422120,3,2.5,1630,2,98034
625000,5,2.5,2990,2,98011
385200,4,1,1550,1.5,98126
500000,3,2.25,1690,2,98029
308000,4,2.25,1960,2,98042
565000,3,2.75,2390,1,98006
581000,3,2.5,2600,2,98053
361000,3,2,1950,1,98042
345000,3,1,1250,1,98008
419000,2,2.25,1180,2,98122
347000,3,2.5,1680,2,98056
625000,4,2.25,2220,2,98075
2400000,4,4.25,4890,2,98040
379000,3,3.25,2660,2.5,98010
310000,3,1.5,1150,2,98029
250000,2,2,1130,1,98030
682000,5,2.75,2760,2,98059
246500,3,2,1430,1,98022
325000,3,1,1490,1.5,98092
310950,4,2.5,2030,2,98031
1100000,3,2,3010,2,98199
287500,3,1,1810,1,98133
431000,3,1,1810,1,98133
226000,3,1,970,1,98118
825000,3,1.75,2010,1.5,98103
175000,4,1,1300,1.5,98168
465750,3,1.5,1260,1,98008
659000,4,2.25,2610,2,98075
595000,3,1.75,1910,1,98115
350000,3,2.25,1780,2,98058
270000,4,2.25,1900,1,98023
662500,6,2.25,2450,1,98008
249900,3,1.75,1380,1,98001
324500,3,1.75,1920,1,98023
430000,2,1.75,1350,1,98053
419950,2,1.75,1350,1,98053
285000,4,1.75,2510,1,98032
332000,4,2.5,2470,2,98092
282000,4,1.75,1660,1,98168
